model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
resnet50,cam,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.17777404189109802,0.1347663849592209,0.043007656931877136,1,1,0.4501155067860237,0.7061575925752948,9.411787023672403,4.672487239793595,4.218860549783175,-0.4536266900104202,CNN
resnet50,ig,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.17777404189109802,0.1347663849592209,0.043007656931877136,1,1,0.20509125840537945,0.24470442334967984,16.684266577698757,2.0729766341794176,2.085717769343419,0.012741135164001438,CNN
resnet50,cam,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.17777404189109802,0.18186968564987183,-0.004095643758773804,1,1,0.45829700668410345,0.7196719884401539,15.178561325033801,4.672487239793595,4.462423145815169,-0.21006409397842596,CNN
resnet50,ig,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.17777404189109802,0.18186968564987183,-0.004095643758773804,1,1,0.19590085795996187,0.22460647484507024,22.65073131688328,2.0729766341794176,1.7182038123381649,-0.3547728218412527,CNN
resnet50,cam,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.17777404189109802,0.03666079044342041,0.1411132514476776,1,0,0.4672514619883041,0.6463400173204675,19.003172240659065,4.672487239793595,4.410878176439516,-0.2616090633540793,CNN
resnet50,ig,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.17777404189109802,0.03666079044342041,0.1411132514476776,1,0,0.14756160311017094,0.10294274964449636,27.5631363381147,2.0729766341794176,2.414789338747652,0.3418127045682344,CNN
resnet50,cam,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.17777404189109802,0.004259724169969559,0.17351431772112846,1,0,0.30855988004433144,0.5093368004365986,18.171916382774267,4.672487239793595,4.010682850132556,-0.6618043896610386,CNN
resnet50,ig,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.17777404189109802,0.004259724169969559,0.17351431772112846,1,0,0.11368806524995839,0.001823994693946228,24.305946282778695,2.0729766341794176,1.8008761208861486,-0.272100513293269,CNN
resnet50,cam,n02769748,backpack,0,1102,gaussian_noise,noise,5,0.17777404189109802,0.0008734086877666414,0.17690063320333138,1,0,0.32078699743370404,0.3774490303220021,23.398318445369796,4.672487239793595,3.656953203575122,-1.0155340362184728,CNN
resnet50,ig,n02769748,backpack,0,1102,gaussian_noise,noise,5,0.17777404189109802,0.0008734086877666414,0.17690063320333138,1,0,0.07182143429273243,-0.09619705042795608,25.043193946011183,2.0729766341794176,1.8591882599819542,-0.21378837419746333,CNN
resnet50,cam,n02769748,backpack,0,1102,shot_noise,noise,1,0.17777404189109802,0.08362530171871185,0.09414874017238617,1,1,0.5480487428659572,0.8310079476241565,8.017967830529669,4.672487239793595,4.569673285009757,-0.10281395478383804,CNN
resnet50,ig,n02769748,backpack,0,1102,shot_noise,noise,1,0.17777404189109802,0.08362530171871185,0.09414874017238617,1,1,0.23565624230485102,0.345935630877663,4.919431951207587,2.0729766341794176,2.021211555074598,-0.051765079104819645,CNN
