model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.8228275179862976,0.74904865026474,0.07377886772155762,1,1,0.5469953775038521,0.7695235157233292,13.65734148370318,4.5033334566697025,4.530077449883508,0.02674399321380516,CNN
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.8228275179862976,0.74904865026474,0.07377886772155762,1,1,0.16393157436938244,0.18119979515287643,21.123935191585414,2.610841316943398,1.8881130207324972,-0.7227282962109007,CNN
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.8228275179862976,0.5025945901870728,0.32023292779922485,1,1,0.4538606403013183,0.648679298162572,20.647347181941807,4.5033334566697025,4.638218722788659,0.1348852661189568,CNN
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.8228275179862976,0.5025945901870728,0.32023292779922485,1,1,0.15263581026760079,0.14223802870123517,21.98605819102207,2.610841316943398,2.178503420719246,-0.43233789622415175,CNN
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.8228275179862976,0.46574637293815613,0.3570811450481415,1,1,0.5482875655661833,0.770991634996614,15.08519247050762,4.5033334566697025,4.701678021550442,0.19834456488073915,CNN
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.8228275179862976,0.46574637293815613,0.3570811450481415,1,1,0.12637485970819304,0.053032381534395046,35.591822139412244,2.610841316943398,1.8654073168232947,-0.7454340001201032,CNN
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.8228275179862976,0.005787871312350035,0.8170396466739476,1,0,0.48384712057366747,0.7268233388869959,16.025987114100012,4.5033334566697025,4.5718724188392015,0.06853896216949895,CNN
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.8228275179862976,0.005787871312350035,0.8170396466739476,1,0,0.10864402098867716,0.015769310189181263,36.295132542806606,2.610841316943398,1.3061615838557266,-1.3046797330876714,CNN
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,5,0.8228275179862976,0.0010734248207882047,0.8217540931655094,1,0,0.25843260188087774,0.31045883090799686,30.615827478832642,4.5033334566697025,4.199737019469163,-0.3035964372005395,CNN
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,5,0.8228275179862976,0.0010734248207882047,0.8217540931655094,1,0,0.0826905442580506,-0.07589740918460965,40.23605695319049,2.610841316943398,1.9947609312970551,-0.6160803856463428,CNN
resnet101,cam,n02769748,backpack,0,1102,shot_noise,noise,1,0.8228275179862976,0.8558887839317322,-0.03306126594543457,1,1,0.5592325021362542,0.8407407288587263,10.127802385784298,4.5033334566697025,4.717581605366437,0.21424814869673448,CNN
resnet101,ig,n02769748,backpack,0,1102,shot_noise,noise,1,0.8228275179862976,0.8558887839317322,-0.03306126594543457,1,1,0.21663231906897806,0.2979300499718409,7.938240876059851,2.610841316943398,2.304544211533091,-0.30629710541030697,CNN
resnet101,cam,n02769748,backpack,0,1102,shot_noise,noise,2,0.8228275179862976,0.6732373833656311,0.1495901346206665,1,1,0.5707019328585962,0.779925125401591,14.571937990356023,4.5033334566697025,4.601789336957829,0.09845588028812635,CNN
resnet101,ig,n02769748,backpack,0,1102,shot_noise,noise,2,0.8228275179862976,0.6732373833656311,0.1495901346206665,1,1,0.1637966023076477,0.17226948487361585,23.256383625996413,2.610841316943398,2.3662326651908243,-0.24460865175257362,CNN
resnet101,cam,n02769748,backpack,0,1102,shot_noise,noise,3,0.8228275179862976,0.4080120325088501,0.4148154854774475,1,1,0.4947870122132857,0.8447908301784791,2.6420854167894943,4.5033334566697025,4.677011877982332,0.1736784213126299,CNN
resnet101,ig,n02769748,backpack,0,1102,shot_noise,noise,3,0.8228275179862976,0.4080120325088501,0.4148154854774475,1,1,0.1631222112765834,0.16482293566079723,26.54416277935808,2.610841316943398,2.255084303039568,-0.35575701390382974,CNN
resnet101,cam,n02769748,backpack,0,1102,shot_noise,noise,4,0.8228275179862976,0.0037187535781413317,0.8191087644081563,1,0,0.15237111034561948,0.35128311726962136,12.134687752702755,4.5033334566697025,4.319384337610641,-0.18394911905906142,CNN
resnet101,ig,n02769748,backpack,0,1102,shot_noise,noise,4,0.8228275179862976,0.0037187535781413317,0.8191087644081563,1,0,0.13709494674824382,0.09527183423018587,25.56561959151535,2.610841316943398,2.5181942637060555,-0.09264705323734246,CNN
resnet101,cam,n02769748,backpack,0,1102,shot_noise,noise,5,0.8228275179862976,0.0017354722367599607,0.8210920457495376,1,0,0.1686739977890266,0.33702062487268886,14.724992097197365,4.5033334566697025,4.4037260642850375,-0.09960739238466498,CNN
